"Date","MaxTemp","MinTemp","Precipitation"
"6/15/15",94,75,"0.00"
"6/16/15",94,75,"0.00"
"6/17/15",94,77,"0.00"
"6/18/15",95,73,"0.20"
"6/19/15",91,73,"0.00"
"6/20/15",89,75,"0.34"
"6/21/15",93,72,"0.00"
"6/22/15",94,75,"0.00"
"6/23/15",94,77,"0.00"
"6/24/15",93,72,"1.56"
"6/25/15",93,70,"0.00"
"6/26/15",90,74,"T"
"6/27/15",85,72,"1.37"
"6/28/15",83,66,"0.00"
"6/29/15",86,65,"0.00"
"6/30/15",86,72,"0.07"
"7/1/15",85,69,"0.61"
"7/2/15",87,68,"0.15"
"7/3/15",79,70,"0.42"
"7/4/15",85,68,"1.54"
"7/5/15",84,69,"T"
"7/6/15",84,71,"0.05"
"7/7/15",90,71,"0.00"
"7/8/15",90,74,"0.00"
"7/9/15",91,73,"0.00"
"7/10/15",93,74,"0.00"
"7/11/15",92,73,"0.00"
"7/12/15",93,72,"T"
"7/13/15",92,71,"0.01"
"7/14/15",90,69,"0.92"
"7/15/15",89,69,"0.08"
"7/16/15",88,73,"0.00"
"7/17/15",93,76,"0.00"
"7/18/15",92,76,"0.02"
"7/19/15",91,74,"T"
"7/20/15",93,74,"T"
"7/21/15",93,75,"0.09"
"7/22/15",92,71,"0.71"
"7/23/15",88,73,"0.27"
"7/24/15",91,74,"0.00"
"7/25/15",90,75,"0.00"
"7/26/15",91,74,"0.00"
"7/27/15",92,76,"T"
"7/28/15",94,76,"0.00"
"7/29/15",93,75,"0.03"
"7/30/15",94,76,"0.01"
"7/31/15",93,72,"0.10"
"8/1/15",89,73,"0.00"
"8/2/15",94,70,"0.00"
"8/3/15",94,73,"T"
"8/4/15",97,74,"0.00"
"8/5/15",95,74,"0.00"
"8/6/15",88,73,"0.12"
"8/7/15",88,73,"T"
"8/8/15",92,70,"0.00"
"8/9/15",93,73,"T"
"8/10/15",94,75,"0.05"
"8/11/15",91,72,"0.01"
"8/12/15",90,71,"0.00"
"8/13/15",89,71,"T"
"8/14/15",90,72,"0.00"
