"ID","Description","IATA_CODE","FIVE_CODE"
106,"Albury, Australia: Albury Airport","ABX",10145
107,"Alcantara, Brazil: Centro de Lancamento de Alcantara","QAH",14343
108,"Alderney, United Kingdom: Alderney Airport","ACI",10153
109,"Aleg, Mauritania: Aleg Airport","LEG",12935
110,"Alegrete, Brazil: Alegrete Airport","ALQ",10270
111,"Aleknagik, AK: Aleknagik New","WKK",15774
112,"Aleneva, AK: Aleneva Airport","AED",10176
113,"Alenquer, Brazil: Alenquer Airport","ALT",10273
114,"Aleppo, Syria: Aleppo International","ALP",10269
115,"Alert, Canada: Alert Airport","YLT",16114
116,"Alexander Bay, South Africa: Alexander Bay Airport","ALJ",10264
117,"Alexander City, AL: Thomas C. Russell Field","ALX",10276
118,"Alexandra, New Zealand: Alexandra Airport","ALR",10271
119,"Alexandria Bay, NY: Maxson Airfield","AXB",10445
120,"Alexandria, Egypt: Alexandria International","ALY",10277
121,"Alexandria, Egypt: Borg El Arab","HBE",12077
122,"Alexandria, LA: Alexandria International","AEX",10185
123,"Alexandria, LA: Esler Regional","ESF",11590
124,"Alexandria, MN: Chandler Field","AXN",10449
125,"Alexandroupolis, Greece: Dimokritos","AXD",10447
126,"Alghero/Sassari, Italy: Alghero","AHO",10217
127,"Algiers, Algeria: Houari Boumediene","ALG",10261
128,"Alicante, Spain: Alicante Elche","ALC",10258
129,"Alice Arm, Canada: Alice Arm Airport","ZAA",16280
130,"Alice Springs, Australia: Alice Springs Airport","ASP",10382
131,"Alice, TX: Alice International","ALI",10263
132,"Allahabad, India: Allahabad Airport","IXD",12419
133,"Allakaket, AK: Allakaket Airport","AET",10184
134,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","ABE",10135
135,"Alliance, NE: Alliance Municipal","AIA",10221
136,"Alma, Canada: Chesterfield Inlet","YTF",16203
137,"Alma, MI: Gratiot Community","AMN",10288
138,"Almaty, Kazakhstan: Almaty Airport","ALA",10256
139,"Almeria, Spain: Almeria Airport","LEI",12937
140,"Alor Setar, Malaysia: Sultan Abdul Halim","AOR",10323
141,"Alor, Indonesia: Arcadia Municipal","ARD",10350
142,"Alotau, Papua New Guinea: Gurney","GUR",12020
143,"Alpena, MI: Alpena County Regional","APN",10333
144,"Alpine, AK: Alpine Airstrip","DQH",11388
145,"Alpine, AK: Alpine Airstrip","DQH",10033
146,"Alpine, AK: Alpine Airstrip","A20",11388
147,"Alpine, AK: Alpine Airstrip","A20",10033
148,"Alpine, TX: Alpine Casparis Municipal","ALE",10259
149,"Alta, Norway: Alta Airport","ALF",10260
150,"Altai, Mongolia: Altai Airport","LTI",13092
151,"Altamira, Brazil: Altamira Airport","ATM",10398
152,"Altenrhein, Switzerland: St Gallen Altenrhein","ACH",10152
153,"Alton, IL: St. Louis Regional","ALN",10267
154,"Altoona, PA: Altoona-Blair County","AOO",10322
155,"Altus, OK: Altus AFB","LTS",13097
156,"Altus, OK: Altus/Quartz Mountain Regional","AXS",10451
157,"Alula, Somalia: Alula Airport","ALU",10274
158,"Ama, Papua New Guinea: Ama Airport","AMF",10281
159,"Amami O Shima, Japan: Amami","ASJ",10376
160,"Amari, Estonia: Amari Airport","EE1",16693
161,"Amarillo, TX: Rick Husband Amarillo International","AMA",10279
162,"Amarillo, TX: Tradewind","TDW",15164
163,"Ambanja, Madagascar: Ambanja/Ambalavelona","IVA",12406
164,"Ambatomainty, Madagascar: Ambatomainty Airport","AMY",10296
165,"Amberley, Australia: Amberley Airport","FVJ",11806
166,"Ambler, AK: Ambler River","ABL",10139
167,"Amboin, Papua New Guinea: Amboin Airport","AMG",10282
168,"Ambon, Indonesia: Pattimura","AMQ",10291
169,"Amchitka Island, AK: Amchitka","AHT",10219
170,"Amendola, Italy: Amendola Airport","IT1",16420
171,"American Creek, AK: American Creek Airport","OQZ",13924
172,"American Falls, ID: American Falls Airport","JZO",12593
173,"Americus, GA: Jimmy Carter Regional","VWT",15665
174,"Ames, IA: Ames Municipal","AMW",10294
175,"Amman, Jordan: Marka International","ADJ",10164
176,"Amman, Jordan: Queen Alia International","AMM",10287
177,"Ammaroo, Australia: Ammaroo Station","AMX",10295
178,"Amook Bay, AK: Amook Bay Airport","AOS",10324
179,"Ampanihy, Madagascar: Ampanihy Airport","AMP",10290
180,"Amritsar, India: Amritsar Airport","ATQ",10402
181,"Amsterdam, Netherlands: Schiphol","AMS",10292
182,"Anaa, French Polynesia: Anaa Airport","AAA",10118
183,"Anaco, Venezuela: Anaco Airport","AAO",10128
184,"Anacortes, WA: Anacortes Airport","OTS",13968
185,"Anadyr, Russia: Anadyr Airport","DYR",11458
186,"Anaheim, CA: Anaheim-Disneyland HP","ANA",10297
187,"Anahim Lake, Canada: Anahim Lake Airport","YAA",15986
188,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport","AKP",10247
189,"Analalava, Madagascar: Analalava Airport","HVA",12241
190,"Anapa, Russia: Anapa Airport","AAQ",10129
191,"Anchorage, AK: Elmendorf AFB","EDF",11487
192,"Anchorage, AK: Lake Hood Strip","DQL",11392
193,"Anchorage, AK: Merrill Field","MRI",13467
194,"Anchorage, AK: Ted Stevens Anchorage International","ANC",10299
195,"Ancona, Italy: Falconara","AOI",10318
196,"Anda, Norway: Anda Airport","SDN",14737
197,"Andahuaylas, Peru: Andahuaylas Airport","ANS",10311
198,"Andakombe, Papua New Guinea: Andakombe Airport","ADC",10161
199,"Andalusia/Opp, AL: South Alabama Regional at Bill Benton Field","AL4",16423
200,"Andamooka, Australia: Andamooka Airport","ADO",10169
201,"Andeness, Norway: Andoya","ANX",10314
202,"Anderson, IN: Anderson Municipal-Darlington Field","AID",10223
203,"Anderson, SC: Anderson Regional","AND",10300
204,"Andes, Colombia: Andes Airport","ADN",10168
205,"Andrews, TX: Andrews County","AWX",10442
206,"Andriamena, Madagascar: Andriamena Airport","WAD",15711
207,"Andros Town, The Bahamas: Fresh Creek","ASD",10371
208,"Anegada, British Virgin Islands: Auguste George","NGD",13660
209,"Aneityum, Vanuatu: Aneityum Airport","AUY",10426
210,"Angelholm/Helsingborg, Sweden: Angelholm","AGH",10201
211,"Angers, France: Angers Marce","ANE",10301
212,"Angoche, Mozambique: Angoche Airport","ANO",10308
213,"Angoon, AK: Angoon Seaplane Base","AGN",10204
214,"Angoram, Papua New Guinea: Angoram Airport","AGG",10200
215,"Angouleme, France: Angouleme Brie Champniers","ANG",10303
216,"Angwin, CA: Angwin-Parrett Field","JZX",12602
217,"Aniak, AK: Aniak Airport","ANI",10304
218,"Anita Bay, AK: Anita Bay Airport","AIB",10222
219,"Anjouan, Comoros: Ouani","AJN",10233
